Master_Plot,NO_LichenSpp,NO_LichensMatrix,NO_indeterminatespp,NO_PBAbsent,NO_PBCyanobact,NO_PBGreencoccoid,NO_PBGreentrent,NO_PBPolymorph,NO_PBGreenStichoc,NO_Bark,NO_Humus,NO_Lichen,NO_noncalc.rock,NO_Wood,NO_Leaf,NO_Calc.rock,NO_Fungi,NO_Hepatics,NO_EpiphyticMacrolichenNO_,NO_EpiphyticMacrolichenYes,NO_Lichenized,NO_nonLichenized,NO_ParasiteNo,NO_ParasiteYes,NO_Crustose,NO_Foliose,NO_Fruticose,NO_Polymorp,NO_Squam,NO_Umbilicate,NO_FungalAsexual,NO_LichenizedAsexual,NO_Polymorphic,NO_Sexual,Date_Inventoried,DateSampled,State,Plot_Code_AUTOFILLS,SiteNameEmu,County,OwnerEmuIRN,Jurisdiction,Locality_Data,HabitatData,General_Geology,Precise_Geology,Latitude,Longitude,Elevm,Slope,Aspect,Collecting_Time_Mins,NO_Collectors,LichenDiversity,NO_VoucherCollections,WetDryDay,RockCover,LargeTrees,CanopyCover,Understory,Weediness,Recruitment,Litter,Loggyness,PatchSize,Neighborhood,DistancetoCore,SumHabitatQuality,SumDBH,AverDBH,NO_Shrubspp,NO_Treespp,NO_Woodyspp,Notes
69,93,91,2,3,2,79,7,0,0,42,9,1,34,3,0,2,0,0,68,23,88,3,89,2,48,26,4,10,2,1,0,45,7,39,12/14/2017,12/17/2017,TN,TN-MP-69,CNF-Bald River Falls,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, Bald River Gorge Wilderness, W-facing slopes above Bald River Falls, Bald River Trail/Trail-88 just S of jct w/ River Rd./FSR210","Extensive sandstone and conglomerate outcrops with Kalmia-Rhododendron and sparse forest dominated by conifers (Pinus echinata, P. strobus, P. virginiana) and hardwoods (Acer saccharum, Alnus, Halesia, Hamamelis, Liquidambar, Oxydendrum)",Non_calcareous,Non_calcareous,35.32396,-84.17744,447,30,West_facing,100,2,93,131,Dry,8,4,4,15,11,10,5,4,8,4.2,5,70.2,317,63.4,3,9,12, 
70,56,55,1,1,3,41,10,0,0,44,4,0,6,1,0,0,0,0,38,17,54,1,55,0,33,16,0,3,3,0,2,23,2,28,12/14/2017,12/17/2017,TN,TN-MP-70,CNF-Wildcat Creek,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, N/E shore of Tellico River at confluence w/ Wildcat Creek, W slopes of Henson Mountain adjacent to Wildcat Overlook","Ruderal, recently burned, forest of mixed hardwood (Acer rubrum, Carya, Quercus alba, Q. coccinea) – conifer (Pinus strobus, P. virginiana) forest",Non_calcareous,Non_calcareous,35.34889,-84.24822,321,40,West_facing,26,2,56,63,Dry,1.5,0,3,0,4,10,5,3,8,3.2,5,41.2,401,80.2,1,9,10, 
71,113,113,0,5,8,94,5,1,0,72,3,5,30,2,0,1,0,0,78,35,108,5,108,5,65,36,4,2,4,2,1,57,1,54,12/16/2017,12/16/2017,TN,TN-MP-71,CNF-Bark Legging,Polk,253040,United_States_National_Forest_Service,"Cherokee National Forest, Big Frog Wilderness Area, E-slopes of Bark Legging Lead of Big Frog Mountain, Benton MacKeye Trail/Trail-2 and Big Frog Trail/Trial-64 at jct w/ Big Creek Trail/Trail-68, ~1 mi N of summit","Ridge forest of northern hardwoods (Acer saccharum, Amelanchier, Betula alleghaniensis, Carya, Hamamelis, Oxydendrum, Prunus, Quercus alba, Q. prinus, Q. rubra) and Pinus strobus with Vaccinium understory and extensive rock weakly calcareous rock outcrops",Non_calcareous,Non_calcareous,35.0125,-84.52365,1115,20,East_facing,108,2,113,179,Dry,4,6,5,20,15,10,5,4,10,5.2,5,85.2,541,108.2,2,12,14, 
72,89,87,2,0,8,67,10,2,0,81,1,0,4,0,0,1,0,0,46,41,87,0,87,0,45,35,2,0,5,0,0,55,1,31,12/16/2017,12/16/2017,TN,TN-MP-72,CNF-Big Frog,Polk,253040,United_States_National_Forest_Service,"Cherokee National Forest, Big Frog Wilderness, E-slopes of Peavine Ridge of Big Frog Mountain, above West Fork of Rough Creek, Big Frog Trail/Trial-64 ~0.2 mi S of jct w/ Yellow Stand Lead Trail/Trail-73 at Low Gap","Mature mixed hardwood (Acer rubrum, Betula lenta, Carya, Liriodendron, Magnolia fraseri, Oxydendrum, Quercus alba, Q. prinus, Q. rubra) – conifer (Pinus strobus, Tsuga) forest with occasional Kalmia-Rhododendron and non-calcareous rock outcrops",Non_calcareous,Non_calcareous,35.03298,-84.51732,787,15,East_facing,60,2,89,140,Dry,1.5,6,5,15,11,10,5,5,10,5.2,5,77.2,639,159.75,2,10,12, 
73,48,47,1,1,1,43,2,0,0,29,2,1,10,0,0,5,0,0,31,16,46,1,46,1,26,17,2,1,1,0,0,19,1,27,12/18/2017,12/18/2017,TN,TN-MP-73,CNF-Beech Gap,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unicoi Mountains, Benton MacKaye Trail and Cherohala Skyway/TN165, 0.25 mi S of Beech Gap","Disturbed northern hardwood (Acer saccharum, Amelanchier, Betula allghaniensis, Halesia, Prunus, Quercus rubra) forest with Tsuga, Rhododendron, and large parking area",Non_calcareous,Non_calcareous,35.34455,-84.03542,1358,0,Flat,36,2,48,67,Wet,3,2,0,0,4,10,3,3,8,2.8,4,36.8,347,69.4,2,7,9, 
74,94,93,1,0,5,79,7,2,0,84,4,0,5,0,0,0,0,0,54,39,93,0,93,0,51,32,6,3,1,0,1,53,4,35,12/18/2017,12/18/2017,TN,TN-MP-74,CNF-Bob Bald,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unicoi Mountains, Bob Bald, Benton MacKaye Trail/Bob Bald Connector/Trail54A, ~2.6 mi N of Cherohala Skyway/TN165 at Beech Gap","Mature northern hardwood forest (Aesculus, Betula alleghaniensis, Fagus dominant) with Rhododendron and sparse Tsuga",Non_calcareous,Non_calcareous,35.37221,-84.00853,1550,6,North_facing,104,2,94,162,Dry,1.5,9,4,20,11,10,5,5,10,5.2,5,84.2,597,199,2,6,8, 
75,108,106,2,0,7,93,4,2,0,76,0,0,29,0,0,1,0,0,67,39,106,0,106,0,57,40,5,0,2,2,0,55,0,51,12/18/2017,12/18/2017,TN,TN-MP-75,CNF-McIntyre Lead,Monroe,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unicoi Mountains, upper slopes of McIntyre Lead of Sassafras Ridge","Mixed hardwood (Acer saccharum, Betula lenta, Quercus rubra, Q. prinus) forest with Kalmia-Rhododendron understory and large conglomerate rock outcrops",Non_calcareous,Conglomerate,35.34543,-84.06456,1198,18,South_facing,68,2,108,150,Dry,5,3,5,15,11,10,5,4,9,4.2,5,71.2,527,105.4,3,7,10, 
76,89,88,1,2,0,82,3,1,0,55,5,2,24,2,0,0,0,0,62,26,86,2,85,3,51,24,6,5,0,2,1,39,4,44,12/21/2017,12/21/2017,TN,TN-MP-76,GSMNP-Rocky Top,Blount,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Rocky Top, Appalachian Trail ~0.2 mi SW of Thunderhead Mountain, ~1 mi NE of jct w/ Bote Mountain Trail","Rocky slopes dominated by Rhododendron catawbiense-Prunus-Vaccinium thickets and mixed northern hardwoods (Acer saccharum, Amelanchier, Betula alleghaniensis, Crataegus, Fagus)",Non_calcareous,Non_calcareous,35.56404,-83.71391,1654,10,North_facing,45,2,89,150,Wet,5,3,3,20,15,10,5,1,10,5.2,5,77.2,0,0,2,6,8,"no trees dbh size, rhododendron bald with small saplings"
77,87,86,1,3,1,71,9,2,0,72,4,2,6,2,0,0,0,0,53,33,83,3,84,2,49,27,6,3,1,0,1,44,4,37,12/21/2017,12/21/2017,TN,TN-MP-77,GSMNP-Anthony Creek,Blount,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, ridge between Anthony Creek and West Prong of Little River, Bote Mountain Trail ~0.7 mi N of jct w/ Appalachian Trail at Spence Field","Rhododendron maximum hell with mature forest of mixed hardwoods (Acer saccharum, Betula alleghaniensis, B. lenta, Magnolia fraseri) and many dead Tsuga",Non_calcareous,Non_calcareous,35.57027,-83.73064,1308,5,North_facing,62,2,87,124,Wet,1,8,1,20,15,10,5,1,5,5.2,5,75.2,780,130,1,6,7, 
78,80,80,0,0,8,66,6,0,0,78,0,0,1,1,0,0,0,0,43,37,80,0,80,0,43,29,5,0,3,0,0,44,1,35,3/8/2018,3/8/2018,TN,TN-MP-78,CNF-Dark Hollow,Unicoi,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unaka Mountain, areas just N of Unaka Mountain Wilderness, Dark Hollow Trail/Trail #32 ~0.2 mi W of jct w/ Limestone Cove Trail/Trail #30.","Acidic forest of mixed hardwoods (Acer saccharum, Carya, Liriodendron, Magnolia fraseri, Oxydendrum, Quercus prinus, Q. rubra) and Tsuga with ericaceous understory (Kalmia, Rhododendron) and sparse sandstone rocks",Non_calcareous,Sandstone,36.16597,-82.29395,808,15,North_facing,60,2,80,118,Dry,1,2,4,15,11,10,5,2,8,3,5,65,583,116.6,2,10,12, 
79,35,32,3,0,1,29,2,0,0,31,0,0,1,0,0,0,0,0,19,13,32,0,32,0,19,11,2,0,0,0,0,19,1,12,3/8/2018,3/8/2018,TN,TN-MP-79,CNF-Rock Creek,Unicoi,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unaka Mountain, Rock Creek Campground E of TN395","Disturbed, flat forest surrounding campground with mixed hardwoods (Acer saccharum, Magnolia fraseri, Betula lenta, Fagus grandifolia, Liquidambar styraciflua), sparse Tsuga canadensis, and occasional quartzite-granite rocks with a Rhododendron understory",Non_calcareous,Granite,36.13738,-82.35148,706,0,Flat,30,2,35,45,Dry,2,3,5,10,11,10,5,2,8,0,4,58,486,97.2,1,9,10, 
80,31,31,0,0,1,30,0,0,0,10,8,0,10,3,0,0,0,0,23,8,31,0,31,0,10,10,0,8,1,2,0,13,6,12,3/9/2018,3/9/2018,TN,TN-MP-80,CNF-Green Ridge,Greene,253040,United_States_National_Forest_Service,"Cherokee National Forest, Bald Mountains, Bald Mountain Ridge Scenic Area, S arm of Green Ridge, 0.2 mi N of Poplar Cove Trail/Trail #22, ~0.5 mi W of jct w/ Sarvis Cove Trail","Burned over extensive quartzite/sandstone outcrops with mixed pine (Pinus rigida, P. echinata) dominated forest and Kalmia-Vaccinium understory",Non_calcareous,Sandstone,36.08559,-82.66755,870,60,East_facing,30,2,31,37,Dry,9,1,2,15,11,10,5,5,10,4.2,5,68.2,73,73,3,4,7, 
81,48,47,1,0,1,39,7,0,0,41,1,0,4,1,0,0,0,0,31,16,47,0,47,0,29,17,0,1,0,0,1,26,2,18,3/9/2018,3/9/2018,TN,TN-MP-81,CNF-Poplar Cove,Greene,253040,United_States_National_Forest_Service,"Cherokee National Forest, Bald Mountains, Bald Mountain Ridge Scenic Area, Poplar Cove, Poplar Cove Trail/Trail #22 ~0.25 mi W of jct w/ Sarvis Cove Trail","Mixed hardwoods (Acer saccharum, Carya, Liriodendron, Magnolia, Tilia) with several mature Liriodendron and quartz/sandstone boulders",Non_calcareous,Sandstone,36.08561,-82.66414,807,15,East_facing,25,2,48,58,Dry,3,6,5,15,15,10,5,5,10,5.2,5,81.2,919,183.8,0,6,6, 
82,76,74,2,0,3,59,12,0,0,66,4,0,3,1,0,0,0,0,43,31,74,0,74,0,38,30,3,2,1,0,0,39,2,33,3/9/2018,3/9/2018,TN,TN-MP-82,CNF-Devil Fork,Unicoi,253040,United_States_National_Forest_Service,"Cherokee National Forest, vicinity of confluence of Devil Fork w/ Clark’s Creek, Clark’s Creek Rd./FSR25 at jct w/ Sill Branch Trail, ~2 mi SW of Sally Hole","Riparian forest with mixed conifers (Tsuga dominant, Pinus strobus) and hardwoods (Acer saccharum, Carpinus, Liriodendron, Magnolia fraseri, Ostrya)",Non_calcareous,Non_calcareous,36.12533,-82.53793,565,0,Flat,50,2,76,108,Dry,3,4,5,10,11,10,5,5,8,0,4,62,764,127.33,2,9,11, 
83,88,86,2,2,12,59,12,1,0,69,4,2,1,1,0,9,0,0,52,34,84,2,84,2,42,38,0,2,3,1,1,46,2,37,3/13/2018,3/13/2018,TN,TN-MP-83,CNF-Dry Fork,Greene,253040,United_States_National_Forest_Service,"Cherokee National Forest, Chuckey Mountain, Dry Fork, W of FSR486, 0.1-0.2 mi S of Cedar Creek Cave Rd.","Calcareous rock outcrops in hardwood (Acer, Carya, Fraxinus, Quercus alba, Q. rubra) with sparse Pinus strobus and dead Juniperus and Tsuga",Calcareous,Limestone,36.00805,-82.88451,519,15,North_facing,45,2,88,120,Dry,5,10,5,20,15,10,5,3,8,3,4,83,623,124.6,0,13,13, 
84,75,74,1,0,1,70,3,0,0,48,4,0,20,1,0,1,0,0,51,23,74,0,74,0,39,31,0,3,1,0,1,41,3,29,3/13/2018,3/13/2018,TN,TN-MP-84,CNF-Weavers Bend,Cocke,253040,United_States_National_Forest_Service,"Cherokee National Forest, S-facing slopes above N-shore of French Broad River, above FSR209C/Weaver’s Bend Rd., N of Weaver’s Bend","Extensive semi-calcareous slate and shale cliffs with Pinus virginiana and mixed hardwoods (Acer saccharum, Betula nigra, Quercus prinus, Q. rubra, Ulmus rubra)",Non_calcareous,Non_calcareous,35.93561,-82.91128,355,60,South_facing,70,2,75,107,Dry,8,4,5,15,6,10,5,3,8,0,4,60,466,155.33,1,12,13, 
85,70,68,2,0,0,67,1,0,0,60,2,0,3,3,0,0,0,0,33,35,68,0,68,0,29,34,1,4,0,0,0,43,5,20,3/13/2018,3/13/2018,TN,TN-MP-85,CNF-Meadow Creek Mountain,Cocke,253040,United_States_National_Forest_Service,"Cherokee National Forest, N-slopes of Meadow Creek Mountain, above Long Creek, FSR404 4.3 mi E of jct w/ CR2576/Long Creek Rd.","Mixed hardwood (Acer saccharum, Oxydendrum, Quercus prinus) – Pinus virginiana forest",Non_calcareous,Non_calcareous,35.96975,-82.99503,619,15,North_facing,40,2,70,92,Dry,0,0,3,0,11,10,5,5,10,2,4,50,464,66.29,1,7,8, 
86,71,69,2,0,0,63,4,2,0,69,0,0,0,0,0,0,0,0,37,32,69,0,69,0,37,25,7,0,0,0,0,37,1,31,3/15/2018,3/15/2018,TN,TN-MP-86,CNF-Laurel Fork,Carter,253040,United_States_National_Forest_Service,"Cherokee National Forest, CR50/Walnut Mountain Rd. 1.4 mi N of jct w/ Buck Mountain Rd. at Laurel Fork","Disturbed mixed hardwood (Acer saccharum, Betula lenta, Carya, Liriodendron, Quercus alba, Q. rubra, Q. prinus) forest with sparse conifers (Pinus strobus, Tsuga canadensis)",Non_calcareous,Non_calcareous,36.22005,-82.00369,1082,0,Flat,40,2,71,101,Dry,0,3,5,15,11,10,5,2,8,1,2,62,731,121.83,1,13,14, 
87,32,32,0,0,2,26,3,1,0,20,1,0,10,0,0,1,0,0,21,11,32,0,32,0,18,10,3,0,1,0,0,23,0,9,3/15/2018,3/15/2018,TN,TN-MP-87,DRGC-Doe River,Carter, ,United_States_National_Forest_Service,"Doe River Gorge Camp, N-facing slopes above south shore Doe River, Doe River Railroad 1.8 mi E of terminus of Doe River Rd.","Shaded primarily non-calcareous cliffs in steep Rhododendron-dominated mixed hardwood (Betula lenta dominant, Acer saccharum, Liriodendron, Magnolia fraseri) – conifer (Tsuga canadensis, Pinus strobus) forest",Non_calcareous,Non_calcareous,36.24966,-82.15682,652,40,North_facing,15,2,32,33,Wet,7,4,5,20,15,10,5,5,9,3,1,77,199,66.33,2,5,7, 
88,74,72,2,2,3,60,7,0,0,62,2,2,5,0,0,1,0,0,38,34,70,2,70,2,36,32,3,1,0,0,0,46,2,24,3/15/2018,3/15/2018,TN,TN-MP-88,CNF-Pond Mountain,Carter,253040,United_States_National_Forest_Service,"Cherokee National Forest, edge of Pond Mountain Wilderness, lower slopes of Pond Mountain, along Little Stony Creek, Little Stony Creek Rd. 0.2 mi S of jct w/ US321/TN67 at Watauga Lake","Disturbed riparian mixed hardwood (Acer saccharum, Betula lenta, Carpinus, Liriodendron, Ostrya, Platanus) – conifer (Pinus strobus, Tsuga canadensis) forest with primarily non-calcareous boulders",Non_calcareous,Non_calcareous,36.30918,-82.07326,633,0,Flat,45,2,74,102,Dry,2,0,3,5,9,10,5,1,2,1,2,38,619,103.17,1,10,11, 
89,112,107,5,3,4,90,8,2,0,77,2,2,26,0,0,0,0,0,76,31,104,3,105,2,68,34,0,2,2,1,1,45,1,60,3/17/2018,3/17/2018,TN,TN-MP-89,CNF-Beauty Gap,Unicoi,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unaka Mountain, N-facing slopes above Unaka Mountain Rd./FSR230, 0.2-0.4 mi NE of Beauty Spot Gap","Mature hardwood (Fraxinus-Quercus rubra dominant, Acer saccharum, Betula alleghaniensis, Fagus, Prunus, Tilia) forest with conglomerate outcrops and boulders",Non_calcareous,Conglomerate,36.1271,-82.31076,1298,30,East_facing,125,2,112,168,Dry,4,10,5,25,15,10,5,3,9,4.2,5,91.2,607,202.33,0,13,13, 
90,91,90,1,1,2,80,6,1,0,89,0,0,1,0,0,0,0,0,51,39,89,1,90,0,51,35,4,0,0,0,1,43,1,45,3/17/2018,3/17/2018,TN,TN-MP-90,CNF-Big Ball,Unicoi,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unaka Mountain, Appalachian Trail between Big Ball and Low Gap, ~0.5 mi S of Red Fork Rd./FSR230","Mature rich hardwood (Fraxinus-Quercus rubra dominant, Acer saccharum, Betula alleghaniensis, Fagus, Prunus, Tilia) forest with young Picea on upper slope",Non_calcareous,Non_calcareous,36.12955,-82.27943,1214,35,East_facing,45,2,91,129,Dry,0,5,5,20,15,10,5,4,10,5.2,5,84.2,740,185,1,9,10, 
91,56,56,0,0,0,51,5,0,0,50,3,0,0,1,2,0,0,0,28,28,56,0,56,0,24,23,5,4,0,0,0,32,4,20,3/17/2018,3/17/2018,TN,TN-MP-91,CNF-Red Fork,Unicoi,253040,United_States_National_Forest_Service,"Cherokee National Forest, Unaka Mountain, W-facing slopes above Red Fork Rd./FSR230, 0.3 mi W of Stamping Ground Ridge Trail",Mature spruce (Picea rubens) – yellow birch (Betula alleghaniensis) forest with Amelanchier and Rhododendron,Non_calcareous,Non_calcareous,36.14214,-82.29718,1468,35,West_facing,25,2,56,82,Dry,1,6,5,20,15,10,5,3,9,4.2,5,82.2,484,80.67,1,3,4, 
92,46,44,2,2,0,40,2,0,0,38,3,2,1,0,0,0,0,0,23,21,42,2,42,2,21,20,1,2,0,0,1,26,3,14,3/19/2018,3/19/2018,TN,TN-MP-92,CNF-Cloudland,Carter,253040,United_States_National_Forest_Service,"Cherokee National Forest, Roan Mountain, Appalachian Trail 0.1 mi E of Cloudland Hotel Site, just N of Toll House Gap","Spruce (Picea rubens) – fir (Abies fraseri) forest with sparse hardwoods (Betula alleghaniensis, Sorbus) and Rhododendron catawbiense",Non_calcareous,Non_calcareous,36.10455,-82.1293,1866,15,South_facing,30,2,46,72,Wet,1,3,2,20,15,10,5,3,8,3.2,4,73.2,323,80.75,1,4,5, 
93,81,80,1,1,3,70,4,2,0,73,4,1,2,0,0,0,0,0,43,37,79,1,79,1,40,35,3,2,0,0,2,40,3,35,3/19/2018,3/19/2018,TN,TN-MP-93,CNF-Ash Gap,Carter,253040,United_States_National_Forest_Service,"Cherokee National Forest, N-slopes of Roan Mountain, Ash Gap, Appalachian Trail 0.7 mi N of Toll House Gap","Mixed hardwood (Acer saccharum dominant, Aesculus, Amelanchier, Betula alleghaniensis, Fagus) – spruce (Picea rubens) forest with evidence of prior burning",Non_calcareous,Non_calcareous,36.11486,-82.13519,1620,0,Flat,60,2,81,138,Dry,1,4,5,20,15,10,5,5,9,4,5,82,521,173.67,0,7,7, 
94,47,47,0,0,0,47,0,0,0,30,1,0,14,1,1,0,0,0,30,17,47,0,47,0,26,16,3,1,1,0,2,19,1,25,3/19/2018,3/19/2018,TN,TN-MP-94,CNF-Round Bald,Carter,253040,United_States_National_Forest_Service,"Cherokee National Forest, N-slopes of Roan Mountain, Round Bald, Appalachian Trail 0.5 mi E of Carvers Gap and jct w/ TN143/NC261",Grass bald with granite outcrops and small stands of spruce (Picea rubens) – fir (Abies fraseri) and Rhododendron catawbiense,Non_calcareous,Granite,36.10709,-82.10359,1766,5,North_facing,45,2,47,60,Dry,1,2,0,0,11,0,0,0,8,1.8,4,26.8,58,58,2,3,5, 
95,81,80,1,0,3,73,3,1,0,74,1,0,3,2,0,0,0,0,43,37,80,0,80,0,41,31,6,1,0,1,1,44,1,34,12/7/2016,7/5/2018,NC,NC-MP-95,NNF-Cole Gap,Macon,253961,United_States_National_Forest_Service,"Nantahala National Forest, N-facing slopes above FS4535 0.3 mi W of jct w/ SR1538/Buck Creek Rd. at Cole Gap","Ruderal mixed hardwoods (Acer, Betula lenta, Carya, Fraxinus, Halesia, Liriodendron, Prunus, Robinia, Quercus) with occasional large trees and shaded non-calcareous rock outcrops",Non_calcareous,Non_calcareous,35.1036,-83.2075,1311,5,North_facing,90,1,81,91,Wet,2,3,3,20,15,10,5,2,8,2,5,73,421,60.14,5,17,22, 
96,77,76,1,0,9,64,3,0,0,68,2,0,5,1,0,0,0,0,42,34,76,0,76,0,37,29,3,2,4,1,0,44,2,30,12/9/2016,7/3/2018,NC,NC-MP-96,NNF-Rich Gap,Macon,253961,United_States_National_Forest_Service,"Nantahala National Forest, W-facing slopes 0.2 mi E of FS401/Rich Gap Rd., 1.6 mi S of jct w/ CR1603/Horse Cove Rd.","Mixed hardwood (Acer, Carya, Oxydendrum, mature Quercus prinus) forest with many dead Pinus strobus and Rhododendron-Kalmia understory",Non_calcareous,Non_calcareous,35.0253,-83.1747,957,10,West_facing,60,1,77,88,Dry,2,4,3,15,13,10,5,5,10,2.2,5,72.2,643,128.6,3,13,16, 
97,62,62,0,1,9,48,1,3,0,47,5,0,10,0,0,0,0,0,28,34,61,1,62,0,15,32,6,5,4,0,0,37,1,24,6/8/2015,7/9/2018,NC,NC-MP-97,NNF-Whiterock Mountain,Macon,253961,United_States_National_Forest_Service,"Nantahala National Forest, summit of Whiterock Mountain, spur trail 0.3 mi N of jct w/ Bartram Trail, 1.3 mi NW of Jones Gap parking area at terminus of FS 4522","Extensive granite dome with Kalmia-Rhododendron shrub balds and mixed hardwood (Carya, Quercus alba dominant) forest",Non_calcareous,Granite,35.085,-83.3053,1362,30,South_facing,60,1,62,70,Dry,10,10,5,20,15,10,5,4,10,4.2,5,88.2,127,42.33,4,10,14, 
98,75,75,0,2,0,68,5,0,0,68,0,0,7,0,0,0,0,0,39,36,73,2,75,0,36,28,8,0,1,2,1,41,0,33,10/16/2018,10/16/2018,NC,NC-MP-98,PNF-Max Patch,Madison,254806,United_States_National_Forest_Service,"Pisgah National Forest, Max Patch Mountain, N-slopes of Max Patch below summit, 0.4 mi E of Max Patch Rd./CR-1182","Mixed hardwood (Acer saccharum dominant, A. pensylvanicum, Aesculus, Quercus rubra) forest on edge of grass bald, with granitic rock outcrops in shade",Non_calcareous,Granite,35.79914,-82.95679,1389,15,North_facing,60,1,75,90,Wet,2,4,0,10,6,10,5,0,8,3.2,4,50.2,410,82,2,5,7, 
99,106,106,0,1,6,87,10,2,0,98,1,1,5,1,0,0,0,0,62,44,105,1,105,1,59,37,6,2,2,0,1,55,3,47,10/17/2018,10/17/2018,TN,TN-MP-99,GSMNP-Long Hungry,Blount,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Rich Gap, jct of Long Hungry Ridge Trail and Gregory Ridge Trail, ~0.6 mi E of Gregory Bald, ~0.7 mi W of Forge Knob","Northern hardwood (Acer saccharum, Amelanchier, Betula alleghaniensis, Fagus, Magnolia fraseri, Quercus rubrua) forest on N-facing ridge",Non_calcareous,Non_calcareous,35.62028,-83.85329,1402,10,North_facing,80,1,106,125,Dry,1,6,5,25,15,10,5,1,10,5.2,5,87.2,902,112.75,0,7,7, 
100,100,99,1,1,3,89,4,2,0,85,3,0,7,4,0,0,0,0,60,39,98,1,99,0,57,34,6,2,0,0,1,60,3,35,10/19/2018,10/19/2018,TN,TN-MP-100,CNF-Hall Top,Cocke,253040,United_States_National_Forest_Service,"Cherokee National Forest, Stone Mountain, W-facing slopes of Hall Top, below terminus of FS702/Stone Mountain Tower Rd., ~3.0 mi S of jct w/ Hall Top Rd./FS702A at Low Gap","Mixed hardwood (Acer pensylvanicum, A. rubrum, A. saccharum, Betula lenta, Liriodendron, Nyssa, Quercus alba, Q. rubra, Q. prinus) – conifer (Pinus echinata, P. strobus) forest with Rhododendron thickets and sandstone boulders",Non_calcareous,Sandstone,35.86481,-83.14458,1098,5,West_facing,40,1,100,137,Dry,1,3,3,15,11,10,5,2,8,3.2,5,65.2,508,84.67,1,14,15, 
101,80,78,2,0,0,70,8,0,0,57,5,0,16,0,0,0,0,0,57,21,78,0,78,0,51,19,1,4,2,1,1,37,3,37,10/22/2018,10/22/2018,TN,TN-MP-101,GSMNP-Silers Bald,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Silers Bald, Appalachian Trail above Silers Lead, 0.5 mi N of jct w/ Welch Ridge Trail, E of The Narrows","E-facing slope with non-calcareous rock outcrops and mixed hardwood (Aesculus, Amelanchier, Betula alleghaniensis, Fagus, Prunus, Sorbus) dominated by Fagus, with Rubus and Vaccinium",Non_calcareous,Non_calcareous,35.56612,-83.56554,1707,15,East_facing,70,1,80,103,Dry,2,3,5,25,15,10,5,0,10,5.2,5,83.2,355,50.71,2,6,8, 
102,57,55,2,2,0,53,0,0,0,48,3,2,0,2,0,0,0,0,24,31,53,2,53,2,21,26,4,3,1,0,1,35,2,17,10/24/2018,10/24/2018,TN,TN-MP-102,GSMNP-High Top,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, High Top of Mount LeConte, Boulevard Trail 0.3 mi E of jct w/ Trillium Gap Trail","S-facing slope with spruce (Picea) – fir (Abies) forest and occasional hardwoods (Prunus pensylvanica, Sorbus)",Non_calcareous,Non_calcareous,35.65422,-83.43662,2009,20,South_facing,50,1,57,100,Dry,1,3,3,25,15,10,5,3,10,3.2,5,82.2,468,58.5,0,4,4, 
103,80,75,5,0,0,74,1,0,0,61,6,0,3,4,1,0,0,0,42,33,75,0,75,0,36,27,6,6,0,0,3,36,6,30,10/24/2018,10/24/2018,TN,TN-MP-103,GSMNP-LeConte,Sevier,253032,United_States_National_Park_Service,"Great Smoky Mountains National Park, Mount LeConte, N-facing slopes above Trillium Gap Trail, 0.4 mi N of jct w/ Rainbow Falls Trail/Boulevard Trail at LeConte Lodge","Spruce (Picea) – fir (Abies) forest with abundant hardwoods (Betula alleghaniensis, Prunus pensylvanica, Sorbus), Viburnum understory and non-calcareous rock outcrops",Non_calcareous,Non_calcareous,35.65878,-83.43787,1923,5,North_facing,90,1,80,74,Dry,2,4,3,25,15,10,5,5,10,5.2,5,87.2,548,78.29,1,5,6, 
104,98,97,1,3,2,87,3,2,0,93,0,1,0,3,0,0,0,0,53,44,94,3,96,1,52,35,8,1,1,0,0,56,2,39,10/27/2018,10/27/2018,TN,TN-MP-104,CNF-Lamb Gulf,Cocke,253040,United_States_National_Forest_Service,"Cherokee National Forest, Lamb Mountains, Lamb Gulf, SW of FSR2250/Cold Springs Crek Rd. 0.4 mi SW of jct w/ FSR2251, between two tributaries of Brown Gap Creek","Mixed hardwood (Acer rubrum, Betula lenta, Diospyros, Nyssa, Oxydendrum, Sassafras, Quercus prinus, Q. rubra) forest with some mature trees and Kalmia-Rhododendron-Vaccinium-Pyrularia understory",Non_calcareous,Non_calcareous,35.78503,-82.98734,1127,15,South_facing,135,2,98,142,Wet,0,3,5,25,15,10,5,4,8,3.2,5,83.2,649,129.8,5,11,16, 
